CV,Norm_Type,Intercept_Type,best_alphas,best_rhos,best_R2s,best_R2s_test,best_MSEs,mean_CVscores,std_CVscores
CV_3,False,False,0.01,0.01,0.9028,0.83444,0.02587,0.83211,0.0209
CV_3,False,True,0.01,0.03,0.93788,0.8959,0.01626,0.90279,0.00945
CV_3,True,False,0.01,0.01,0.9028,0.83444,0.02587,0.83211,0.0209
CV_3,True,True,0.01,0.01,0.71525,0.69664,0.0474,0.76227,0.01588
CV_5,False,False,0.01,0.01,0.9028,0.83444,0.02587,0.84312,0.02133
CV_5,False,True,0.01,0.01,0.94213,0.89555,0.01632,0.91096,0.01246
CV_5,True,False,0.01,0.01,0.9028,0.83444,0.02587,0.84312,0.02133
CV_5,True,True,0.01,0.01,0.71525,0.69664,0.0474,0.73666,0.02094
CV_10,False,False,0.01,0.01,0.9028,0.83444,0.02587,0.84113,0.04717
CV_10,False,True,0.01,0.01,0.94213,0.89555,0.01632,0.90933,0.02182
CV_10,True,False,0.01,0.01,0.9028,0.83444,0.02587,0.84113,0.04717
CV_10,True,True,0.01,0.01,0.71525,0.69664,0.0474,0.71598,0.0272
CV_31,False,False,0.01,0.01,0.9028,0.83444,0.02587,0.83764,0.06569
CV_31,False,True,0.01,0.01,0.94213,0.89555,0.01632,0.90506,0.04317
CV_31,True,False,0.01,0.01,0.9028,0.83444,0.02587,0.83764,0.06569
CV_31,True,True,0.01,0.01,0.71525,0.69664,0.0474,0.6946,0.06019
